train-logloss-mean,train-logloss-std,train-error-mean,train-error-std,test-logloss-mean,test-logloss-std,test-error-mean,test-error-std
0.6476831365398875,0.00045894564599441854,0.404248495133617,0.000966089073861808,0.6479333131731904,0.0015251151280560882,0.4042484469393795,0.0038645519193416383
0.6253554001627536,0.00027132875125959976,0.404248495133617,0.000966089073861808,0.6258004559695545,0.0019278924002616414,0.4042484469393795,0.0038645519193416383
0.6052331833722071,0.00033957751195179024,0.404248495133617,0.000966089073861808,0.6058835684664967,0.0021669130234371475,0.4042484469393795,0.0038645519193416383
0.5866178158519197,0.0003575375871881003,0.2862800854011064,0.010105575337150282,0.5874753538345915,0.002142875313077929,0.28811509405947505,0.013632260050705934
0.5673789303770543,0.000296121028757266,0.23497923409673108,0.002418435979136309,0.5683504102789917,0.0021293698107723797,0.2366876057814749,0.005520769104032864
0.5489101851407708,0.00041269111319892844,0.19987598475022056,0.001267387571713845,0.5501333530401065,0.002105249330776069,0.202166416847197,0.0017483468884421124
0.5316321534524572,0.0004014461591078808,0.17846898985563947,0.006235094775122658,0.5330229173037709,0.0020244384923528824,0.1811432512139635,0.004948388154920175
0.51804951372175,0.0002779006157511571,0.15525243346060727,0.0048002040754255935,0.5195608958411196,0.0022776932286468045,0.1583652427689964,0.009523865832650885
0.5031566196002945,0.00029833868810346113,0.14599785926538808,0.0027479437272613966,0.5048227074502949,0.002481832869810504,0.14827543003274848,0.00826810238209902
0.49132705616837347,0.000447254982000248,0.14056490856079934,0.0025962882528432645,0.4931680910707515,0.0024693746116149938,0.14377045641115363,0.007980686729791223
0.48181560854234506,0.0004902625322656427,0.13937117303032198,0.0013644476027402058,0.48380275561202046,0.0024462101009467534,0.14191452429087775,0.006651087342937252
0.4690276539109016,0.0004297627511768846,0.12640886353252098,0.0027722982860339963,0.4711506845825678,0.002599705361095545,0.12959758674719707,0.00694681557574347
0.45713284609388183,0.0005316262092764224,0.12037271608280467,0.0019517213462966498,0.4594010175235878,0.0024574161025126425,0.12342228944807854,0.006399991336480129
0.44592057094247445,0.0006406867561137455,0.11664810367844444,0.000517157176279557,0.4482951667665166,0.002322968732772307,0.11991284438465459,0.004882296690152094
0.4356101345601875,0.0005672434254471433,0.11462341050624095,0.0012103054952439327,0.43811158919678495,0.002416644391526501,0.11805684678649717,0.0046695475715167085
0.4260106995745924,0.0005379340155549398,0.11346342704421715,0.0008851850852218631,0.42870347802935627,0.0024286935201587715,0.11665642008991792,0.004896939236475686
0.4179950496995305,0.0005773121921006863,0.11310909784809568,0.0005026838946011929,0.420880445597981,0.002446817873296051,0.11655521263650234,0.00506537581043003
0.4097117656331557,0.0006955536576541268,0.11220641835086394,0.0004776872870981866,0.4127879495596001,0.0024009523196438305,0.11535728198239012,0.0051236340188004735
0.4018102901018154,0.0007168490737846291,0.11149777054517473,0.0005414564146190473,0.40500810026462475,0.0025500770040645816,0.11434493130238595,0.004670560366231952
0.39461629123058073,0.0008136441142896303,0.11099159146955248,0.000994272422990445,0.3980028022816208,0.0025592476422700156,0.11429430835934336,0.004582064563040096
0.3876536781426122,0.0009473938676693328,0.10999611202141388,0.0013285189242892071,0.39117586354505324,0.002595132664967516,0.11282642236356619,0.004571833336823866
0.3812178995653076,0.0009495270779328971,0.10916936044418084,0.0013630695295436454,0.38489973036029757,0.002660644189263236,0.11233711327179581,0.004503632672147283
0.3745821901666856,0.00096212211878278,0.10845228031498697,0.0012034724149306032,0.37843777226856307,0.00248436799624437,0.11199966731542436,0.004026749645177759
0.3685641958445275,0.001136916728846605,0.10793766918274798,0.001822829312837221,0.3725286995078861,0.0024385589953471293,0.11179720258846593,0.0033804026405335106
0.36299934868627215,0.0011168302299333775,0.10703077783845179,0.0018085935546174018,0.36711590988222675,0.0024807295803518183,0.11110540599482177,0.0036433580982147716
0.35737751474383955,0.0012009957108423735,0.10679455899710924,0.00173352848702794,0.36158689832491653,0.002454253680546625,0.1110379210738441,0.0036514862218951253
0.35229402545644506,0.001099722119026276,0.10631791124661247,0.001545934015824236,0.35663359403768774,0.002639390871159361,0.11044737606001395,0.0034820835500071244
0.34749566811493493,0.001076437135198664,0.106064824733531,0.0019318591676178143,0.3519663598986225,0.0026525143438191102,0.11017741787148458,0.003489351633620108
0.343259464821821,0.0011287698232851492,0.1056936267091563,0.0019601233628548306,0.34786540520475645,0.0026648022205487992,0.10994122349492719,0.0027142360668585288
0.33953065581873504,0.0011402425688372296,0.10572737486325386,0.002074254829024452,0.34428869929802464,0.0026556579056944986,0.10951939647727005,0.003252793108223707
0.33523329653323014,0.0012149645939014773,0.10502716916695935,0.0018628853598081684,0.3401060646964602,0.0026447393697460594,0.10886135942530122,0.003483384858184441
0.33119819975119724,0.0013491798541626417,0.10484579249942753,0.002231290931680013,0.3361696218593294,0.0025706034994804044,0.10859140408363625,0.003087001518981898
0.32730558153879785,0.0014134853692991335,0.10432273952468178,0.0023978084904176986,0.3324645659444758,0.0025626602173442177,0.10818647890001601,0.0026105132862025426
0.32369207122100285,0.0014001061266777255,0.10401059498740647,0.002479569608771264,0.328909965292671,0.0027163179666675106,0.10801777086786846,0.002533754073598857
0.32015170948315674,0.001447573008637217,0.10314588011739385,0.002424182190940763,0.32544611367495396,0.002782615773981903,0.1072922545886508,0.002307299255425233
0.31668155296643324,0.0014264136638772375,0.10288013706793678,0.0022171025291089696,0.32210838481816007,0.0028707432231846277,0.10712353374561341,0.0022801871035982176
0.3130962244375916,0.001446359792773955,0.10237396146185736,0.002206432326717646,0.31861482832831334,0.0029029758138809274,0.10660048219335416,0.0026411212609951003
